taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Dolichospermum ,21.6505,65.30133,1
Cyanobacteria,Dolichospermum ,21.6695,65.29383,1
Cyanobacteria,Dolichospermum ,21.54033,65.38767,1
Cyanobacteria,Dolichospermum ,21.55717,65.38467,1
Cyanobacteria,Dolichospermum ,21.52133,65.3295,1
Cyanobacteria,Dolichospermum ,21.54483,65.34433,1
Cyanobacteria,Dolichospermum ,21.49583,65.3555,1
Cyanobacteria,Dolichospermum ,21.48383,65.355,1
Cyanobacteria,Dolichospermum ,10.01396,63.40607,1
Cyanobacteria,Dolichospermum ,22.44633,65.73033,1
Cyanobacteria,Dolichospermum ,22.44667,65.7295,1
Cyanobacteria,Dolichospermum ,21.56683,65.41367,1
Cyanobacteria,Dolichospermum ,22.27617,65.69183,1
Cyanobacteria,Dolichospermum ,21.69883,65.39833,1
Cyanobacteria,Dolichospermum ,21.647,65.324,1
Cyanobacteria,Dolichospermum ,21.533,65.38967,1
Cyanobacteria,Dolichospermum ,21.5045,65.32583,1
Cyanobacteria,Dolichospermum ,21.48133,65.35067,1
Cyanobacteria,Dolichospermum ,21.06417,64.835,1
Cyanobacteria,Dolichospermum ,22.80517,65.80483,1
Cyanobacteria,Dolichospermum ,23.9195,65.744,1
Cyanobacteria,Dolichospermum ,18.34277,59.21287,1
Cyanobacteria,Dolichospermum ,19.09438,59.74777,1
Cyanobacteria,Dolichospermum ,18.47713,60.2155,1
Cyanobacteria,Dolichospermum ,18.27478,60.35582,1
Cyanobacteria,Dolichospermum ,19.818,63.49933,1
Cyanobacteria,Dolichospermum ,22.37517,65.80767,1
Cyanobacteria,Dolichospermum ,22.44617,65.72983,1
Cyanobacteria,Dolichospermum ,19.4985,63.53717,1
Cyanobacteria,Dolichospermum ,20.27433,63.6605,1
Cyanobacteria,Dolichospermum ,23.67133,65.77933,1
Cyanobacteria,Dolichospermum ,21.18817,64.69167,1
Cyanobacteria,Dolichospermum ,17.68742,59.11788,1
Cyanobacteria,Dolichospermum ,22.673,65.8885,1
Cyanobacteria,Dolichospermum ,22.37483,65.80767,1
Cyanobacteria,Dolichospermum ,20.4205,63.73817,1
Cyanobacteria,Dolichospermum ,21.27583,64.617,1
Cyanobacteria,Dolichospermum ,21.25267,64.30633,1
Cyanobacteria,Dolichospermum ,21.0875,64.20767,1
Cyanobacteria,Dolichospermum ,19.82,63.49933,1
Cyanobacteria,Dolichospermum ,22.37517,65.8075,1
Cyanobacteria,Dolichospermum ,22.447,65.73,1
Cyanobacteria,Dolichospermum ,11.1033,58.8683,1
Cyanobacteria,Dolichospermum ,22.44683,65.72983,1
Cyanobacteria,Dolichospermum ,17.66477,62.43612,1
Cyanobacteria,Dolichospermum ,22.44733,65.73033,1
Cyanobacteria,Dolichospermum ,21.99667,65.48667,1
Cyanobacteria,Dolichospermum ,22.44067,65.48417,1
Cyanobacteria,Dolichospermum ,22.16833,65.5665,1
Cyanobacteria,Dolichospermum ,18.2635,62.864,1
Cyanobacteria,Dolichospermum ,19.8195,63.49967,1
Cyanobacteria,Dolichospermum ,22.44717,65.73033,1
Cyanobacteria,Dolichospermum ,17.6407,62.44053,1
Cyanobacteria,Dolichospermum ,20.44517,63.7335,1
Cyanobacteria,Dolichospermum ,19.81833,63.4995,1
Cyanobacteria,Dolichospermum ,22.37583,65.808,1
Cyanobacteria,Dolichospermum ,22.44633,65.72967,1
Cyanobacteria,Dolichospermum ,22.375,65.80683,1
Cyanobacteria,Dolichospermum ,18.26233,62.8635,1
Cyanobacteria,Dolichospermum ,22.37583,65.80683,1
Cyanobacteria,Dolichospermum ,18.26433,62.8635,1
Cyanobacteria,Dolichospermum ,22.44817,65.73,1
Cyanobacteria,Dolichospermum ,19.81917,63.5005,1
Cyanobacteria,Dolichospermum ,22.37483,65.80717,1
Cyanobacteria,Dolichospermum ,22.57233,65.63683,1
Cyanobacteria,Dolichospermum ,19.80667,63.52483,1
Cyanobacteria,Dolichospermum ,23.674,65.76317,1
Cyanobacteria,Dolichospermum ,23.94233,65.75133,1
Cyanobacteria,Dolichospermum ,23.69833,65.83,1
Cyanobacteria,Dolichospermum ,22.704,65.86133,1
Cyanobacteria,Dolichospermum ,22.64,65.89667,1
Cyanobacteria,Dolichospermum ,22.413,65.77167,1
Cyanobacteria,Dolichospermum ,22.43867,65.856,1
Cyanobacteria,Dolichospermum ,21.93417,65.4375,1
Cyanobacteria,Dolichospermum ,21.95,65.40833,1
Cyanobacteria,Dolichospermum ,21.71983,65.32817,1
Cyanobacteria,Dolichospermum ,21.80033,65.28567,1
Cyanobacteria,Dolichospermum ,21.48333,64.454,1
Cyanobacteria,Dolichospermum ,21.57567,64.47167,1
Cyanobacteria,Dolichospermum ,19.81983,63.4995,1
Cyanobacteria,Dolichospermum ,22.44633,65.73083,1
Cyanobacteria,Dolichospermum ,22.5745,65.63617,1
Cyanobacteria,Dolichospermum ,22.37517,65.80733,1
Cyanobacteria,Dolichospermum ,22.37533,65.807,1
Cyanobacteria,Dolichospermum ,22.44633,65.73,1
Cyanobacteria,Dolichospermum ,22.37483,65.80733,1
Cyanobacteria,Dolichospermum ,22.447,65.72967,1
Cyanobacteria,Dolichospermum ,22.57383,65.63583,1
Cyanobacteria,Dolichospermum ,19.808,63.5255,1
Cyanobacteria,Dolichospermum ,19.8205,63.50017,1
Cyanobacteria,Dolichospermum ,19.80667,63.525,1
Cyanobacteria,Dolichospermum ,19.80883,63.52317,1
Cyanobacteria,Dolichospermum ,12.05,55.169998,1
Cyanobacteria,Dolichospermum ,12.57,55.549999,1
Cyanobacteria,Dolichospermum ,11,55,1
Cyanobacteria,Dolichospermum ,11.98,55.900002,1
Cyanobacteria,Dolichospermum ,11.88333,58.33333,1
Cyanobacteria,Dolichospermum ,11.5625,58.06667,1
Cyanobacteria,Dolichospermum ,10.9,59.0083,1
Cyanobacteria,Dolichospermum ,10.62,56.52,1
Cyanobacteria,Dolichospermum ,11.9,55.919998,1
Cyanobacteria,Dolichospermum ,12.45,55.619999,1
Cyanobacteria,Dolichospermum ,12.3,54.98,1
Cyanobacteria,Dolichospermum ,12.21638,57.12211,1
Cyanobacteria,Dolichospermum ,12.95671,55.77092,1
